year,month,pm25_concentration_ug_per_m3
2016,10,27.880865800264516
2016,11,62.987268936436855
2016,12,65.66978669622794
2017,1,86.75553437919963
2017,2,60.019820657289905
2017,3,29.244308882938373
2017,4,25.886775115562656
2017,5,19.08522657677543
2017,6,24.388150311847358
2017,7,22.873893829386173
2017,8,19.145953781560802
2017,9,17.627961015433844
2017,10,32.10074801309023
2017,11,62.370490297990294
2017,12,67.65410286473148
2018,1,84.17220827249807
2018,2,59.27659859361378
2018,3,44.57580008878618
2018,4,54.0973356810447
2018,5,41.706647609211394
2018,6,43.23205237503728
2018,7,42.485982832392914
2018,8,37.20422304745042
2018,9,23.091072922278112
2018,10,46.32562958315378
2018,11,49.84201961992226
2018,12,49.432913242932116
2019,1,50.40060337848458
2019,2,23.874493872939723
2019,3,20.710506704444054
2019,4,13.253936624387014
2019,5,11.36337851274336
2019,6,12.350665082718047
2019,7,13.897226432410957
2019,8,17.623683374557107
2019,9,37.7675516519046
2019,10,55.20291680656825
2019,11,71.85238075819478
2019,12,122.848447067151
2020,1,81.7207560915187
2020,2,72.30764457637754
2020,3,42.01502311500764
2020,4,27.45374446140716
2020,5,26.194054523917455
2020,6,27.325395935233487
2020,7,26.23515227032439
2020,8,26.70321476411235
2020,9,33.83493386486364
2020,10,52.001715592597755
2020,11,109.28157139892015
2020,12,126.716011788746
2021,1,115.69139919484778
2021,2,103.1139228944739
2021,3,45.576075250291126
2021,4,41.7320199230231
2021,5,31.55562511791647
2021,6,32.71863886857334
2021,7,29.53072449861058
2021,8,24.527584105649634
2021,9,33.30685134991199
2021,10,54.3028719754549
2021,11,98.96179660905848
2021,12,90.78502743504531
2022,1,65.82211545069376
2022,2,50.75034835994825
2022,3,45.00664455146909
2022,4,36.91567614474063
2022,5,40.509328894376935
2022,6,26.321348465272884
2022,7,20.96688602920863
2022,8,29.694853333369593
2022,9,32.995557813592704
2022,10,47.86469010580053
2022,11,74.77633380613148
2022,12,112.06055003209072
2023,1,91.30959136868734
2023,2,64.37525146936328
2023,3,50.903526179525116
2023,4,29.57263769203367
2023,5,27.163634912483403
2023,6,29.63292593505333
2023,7,31.059082559016378
2023,8,27.8351619124753
2023,9,45.685764982391866
2023,10,36.44531994369504
2023,11,107.87958669729156
2023,12,93.95224571805007
2024,1,113.16167678165299
2024,2,67.69240576005181
2024,3,46.87745379187715
2024,4,30.185158092305716
2024,5,25.68867869795003
2024,6,26.63421698701642
2024,7,27.106887168163937
2024,8,21.034508018787605
2024,9,26.251439390987105
2024,10,38.1214258929161
2024,11,47.71691527878557
2024,12,83.79077844623943
2025,1,86.4475689249244
2025,2,55.12070310260882
2025,3,35.9317232665103
2025,4,32.460286163094956
2025,5,27.036324417921577
2025,6,30.031932446787398
